#  /home/moore/pycode/Analysis/lammpsgr.py 0.5m16kw.6.lammpstrj 0.5mgr6all.dat -max 30 -nbins 600
#  nbins=600, min=0, max=30.0, dr=0.05008347245409015
#  Types:4 1:16000 2:32000 3:144 4:144
#  r 1-1 1-2 1-3 1-4 2-2 2-3 2-4 3-3 3-4 4-4 
#  <vol> 518122.324640932 sqrt(<(x-<x>)^2>) = 2292.667503389319 nconfigs: 200
0 0 0 0 0 0 0 0 0 0 0
0.0500835 0 0 0 0 0 0 0 0 0 0
0.100167 0 0 0 0 0 0 0 0 0 0
0.15025 0 0 0 0 0 0 0 0 0 0
0.200334 0 0 0 0 0 0 0 0 0 0
0.250417 0 0 0 0 0 0 0 0 0 0
0.300501 0 0 0 0 0 0 0 0 0 0
0.350584 0 0 0 0 0 0 0 0 0 0
0.400668 0 0 0 0 0 0 0 0 0 0
0.450751 0 0 0 0 0 0 0 0 0 0
0.500835 0 0 0 0 0 0 0 0 0 0
0.550918 0 0 0 0 0 0 0 0 0 0
0.601002 0 0 0 0 0 0 0 0 0 0
0.651085 0 0 0 0 0 0 0 0 0 0
0.701169 0 0 0 0 0 0 0 0 0 0
0.751252 0 0 0 0 0 0 0 0 0 0
0.801336 0 0 0 0 0 0 0 0 0 0
0.851419 0 0 0 0 0 0 0 0 0 0
0.901503 0 0.461316 0 0 0 0 0 0 0 0
0.951586 0 36.1144 0 0 0 0 0 0 0 0
1.00167 0 15.7541 0 0 0 0 0 0 0 0
1.05175 0 0.00322208 0 0 0 0 0 0 0 0
1.10184 0 0 0 0 0 0 0 0 0 0
1.15192 0 0 0 0 0 0 0 0 0 0
1.202 0 0 0 0 0 0 0 0 0 0
1.25209 0 0 0 0 0.000179783 0 0 0 0 0
1.30217 0 0 0 0 0.00593885 0 0 0 0 0
1.35225 0 0 0 0 0.105933 0 0 0 0 0
1.40234 0 5.26871e-05 0 0 0.856145 0 0 0 0 0
1.45242 0 0.00103297 0 0 2.99842 0 0 0 0 0
1.5025 0 0.00991638 0 0 4.32238 0 0 0 0 0
1.55259 0 0.0517989 0 0 2.37535 0 0 0 0 0
1.60267 0 0.166528 0 0 0.453752 0 0 0 0 0
1.65275 0 0.3694 0 0 0.0449266 0 4.52612e-05 0 0 0
1.70284 0 0.622069 0 0 0.038695 0 0.0016955 0 0 0
1.75292 0 0.845009 0 0 0.0657481 0 0.0110136 0 0 0
1.80301 0 0.983286 0 0 0.106271 0 0.082756 0 0 0
1.85309 0 1.02065 0 0 0.161256 0 0.314353 0 0 0
1.90317 0 0.983044 0 0 0.230034 0 0.817474 0 0 0
1.95326 0 0.895916 0 0 0.312168 9.76492e-05 1.56763 0 0 0
2.00334 0 0.795314 0.000234281 0 0.404796 0.00145116 2.35074 0 0 0
2.05342 0 0.691361 0.00412052 0 0.504859 0.00287057 2.99131 0 0 0
2.10351 0 0.598194 0.126167 0 0.611061 0.00580703 3.25286 0 0 0
2.15359 0 0.519228 0.892067 0 0.713685 0.0112157 3.21061 0 0 0
2.20367 0 0.454935 2.89691 0 0.812586 0.0240566 2.92561 0 0 0
2.25376 0 0.4076 5.63174 0 0.903162 0.0432145 2.57017 0 0.013508 0
2.30384 0 0.373548 7.38734 0 0.987142 0.0744802 2.15279 0 0.500194 0
2.35392 1.53286e-05 0.351504 7.4281 0 1.05421 0.125504 1.74966 0 3.39627 0
2.40401 0.000735156 0.341578 6.2381 0 1.10688 0.184505 1.40186 0 13.1941 0
2.45409 0.0118142 0.341585 4.63771 0 1.14262 0.266278 1.13953 0 27.8096 0
2.50417 0.0827231 0.354664 3.32279 0 1.16229 0.388882 0.928655 0 39.0542 0
2.55426 0.319081 0.381855 2.23596 0 1.16296 0.561148 0.7697 0 38.1802 0
2.60434 0.7881 0.421755 1.52253 3.04904e-06 1.1488 0.771145 0.641025 0 30.1762 0
2.65442 1.39876 0.476384 1.03237 0.000662501 1.11842 1.05135 0.53835 0 20.1535 0
2.70451 1.94395 0.544983 0.736505 0.00598605 1.08089 1.34799 0.474045 0 13.2837 0
2.75459 2.26531 0.63096 0.527908 0.0567887 1.037 1.70043 0.439492 0 8.2794 0
2.80467 2.34541 0.726075 0.39445 0.280816 0.995485 2.04424 0.423543 0 4.78757 0
2.85476 2.25838 0.828368 0.302331 0.809436 0.959497 2.36551 0.436514 0 2.4712 0
2.90484 2.07886 0.933024 0.246199 1.68779 0.930799 2.59452 0.466093 0 1.69994 0
2.95492 1.87634 1.03141 0.205038 2.64757 0.910083 2.75309 0.505859 0 0.926301 0
3.00501 1.68547 1.12107 0.175012 3.37325 0.899106 2.78941 0.605754 0 0.786222 0
3.05509 1.52351 1.1961 0.16137 3.67204 0.894292 2.73336 0.718182 0.0849612 0.411504 0
3.10518 1.39285 1.24933 0.157307 3.56656 0.898735 2.51694 0.863257 0.199397 0.294465 0
3.15526 1.29193 1.28623 0.159175 3.17821 0.907067 2.21921 1.01829 0.150355 0.20488 0
3.20534 1.21263 1.30982 0.150827 2.70041 0.91954 1.89308 1.16717 0.182393 0.12845 0
3.25543 1.15143 1.32021 0.157051 2.22912 0.935071 1.54172 1.29435 0.320478 0.132557 0
3.30551 1.10522 1.32199 0.165043 1.82975 0.953381 1.24387 1.36398 0.439286 0.0829046 0
3.35559 1.06771 1.31531 0.182269 1.49905 0.973408 1.007 1.38525 0.561709 0.119344 0
3.40568 1.03705 1.30316 0.208863 1.23117 0.993619 0.837442 1.36317 0.48744 0.142864 0
3.45576 1.01454 1.28555 0.226105 1.04909 1.01408 0.720986 1.32087 0.517536 0.109848 0.0808662
3.50584 0.995966 1.26257 0.248794 0.919495 1.03222 0.655746 1.24586 0.721162 0.126562 0.0776805
3.55593 0.978106 1.23624 0.281876 0.827423 1.0494 0.607416 1.16725 0.794577 0.0950954 0.0434238
3.60601 0.969845 1.20604 0.337237 0.75167 1.06364 0.566974 1.07772 0.786389 0.143361 0.0978049
3.65609 0.959887 1.17145 0.373259 0.716073 1.0732 0.541532 0.998699 0.821703 0.196789 0.184774
3.70618 0.951895 1.13491 0.418977 0.699889 1.08101 0.538864 0.941781 0.711749 0.148837 0.401095
3.75626 0.944441 1.10243 0.492216 0.689576 1.08234 0.533243 0.90408 0.741588 0.23245 0.3251
3.80634 0.938889 1.07171 0.555116 0.663358 1.07945 0.531197 0.867604 0.461619 0.230756 0.305387
3.85643 0.936695 1.04638 0.610663 0.671937 1.07297 0.540295 0.851896 0.589094 0.244577 0.505606
3.90651 0.935807 1.02637 0.690963 0.67462 1.06191 0.552474 0.83285 0.637476 0.301204 0.635335
3.95659 0.934816 1.00925 0.769819 0.679182 1.04824 0.57621 0.834323 0.806877 0.388274 0.683668
4.00668 0.933659 0.997943 0.831996 0.718352 1.0338 0.596215 0.835395 0.698031 0.527001 0.751686
4.05676 0.934302 0.989506 0.910795 0.733309 1.0206 0.62533 0.846371 0.686143 0.656154 0.971876
4.10684 0.93485 0.981383 0.980045 0.75812 1.00669 0.637715 0.872615 0.682412 0.624207 1.0291
4.15693 0.9332 0.976397 1.03126 0.792586 0.996475 0.66482 0.890725 0.667005 0.799473 1.3239
4.20701 0.936655 0.972335 1.09265 0.80827 0.98833 0.697188 0.910431 0.670768 1.07248 1.31799
4.2571 0.936315 0.968439 1.16114 0.837686 0.981215 0.732167 0.926968 0.660298 0.974762 1.39904
4.30718 0.93792 0.964954 1.20497 0.867938 0.976374 0.761541 0.945783 0.765399 1.09403 1.59033
4.35726 0.939405 0.963 1.23776 0.875315 0.972538 0.798381 0.962303 0.771062 1.50544 1.56979
4.40735 0.940727 0.96059 1.27922 0.892015 0.973315 0.828107 0.9817 0.666788 1.6589 1.25597
4.45743 0.943448 0.956625 1.29948 0.913334 0.97365 0.862536 0.997004 0.579981 1.8676 1.38442
4.50751 0.947609 0.954817 1.31341 0.926246 0.975719 0.898936 1.01183 0.631131 1.98243 1.34424
4.5576 0.950058 0.952378 1.33418 0.941122 0.978477 0.932458 1.03494 0.581438 1.98688 1.44353
4.60768 0.950559 0.949885 1.34536 0.975913 0.980919 0.953625 1.03454 0.535707 2.04515 1.49389
4.65776 0.954131 0.948332 1.34973 0.977358 0.983971 0.986759 1.04223 0.607095 2.21598 1.19091
4.70785 0.957464 0.946526 1.34881 0.983882 0.986911 1.02245 1.04804 0.46615 2.25357 1.22653
4.75793 0.95779 0.945072 1.34307 0.988921 0.989193 1.04998 1.05222 0.398109 2.34875 1.0648
4.80801 0.958938 0.944354 1.32752 1.01518 0.990491 1.07986 1.05756 0.50729 2.43066 0.941665
4.8581 0.960847 0.944638 1.32141 1.02232 0.992503 1.10039 1.05103 0.504898 2.56067 0.946486
4.90818 0.964112 0.94468 1.28205 1.01836 0.993571 1.12457 1.03271 0.434577 2.66822 1.09933
4.95826 0.966025 0.945488 1.27462 1.02986 0.993311 1.14989 1.03138 0.477731 2.70274 1.22847
5.00835 0.967471 0.948583 1.23671 1.0209 0.992629 1.16306 1.03296 0.499464 2.75211 1.02102
5.05843 0.971635 0.950396 1.20143 1.01165 0.992415 1.18159 1.0242 0.443619 2.59851 0.794221
5.10851 0.976294 0.952625 1.15915 1.02774 0.991489 1.2006 1.01523 0.47216 2.69556 0.844898
5.1586 0.979996 0.955944 1.1215 1.01606 0.988996 1.21579 1.00947 0.436659 2.55721 0.810461
5.20868 0.986959 0.959664 1.08214 1.01739 0.98816 1.21921 0.999719 0.694447 2.48033 0.822259
5.25876 0.990332 0.964203 1.03906 1.0205 0.986223 1.21354 0.999272 0.55985 2.48984 0.791019
5.30885 0.995076 0.967559 0.999704 1.02972 0.984094 1.21296 0.998518 0.459172 2.25162 0.628056
5.35893 0.99892 0.972258 0.986029 1.03254 0.983164 1.2126 0.996338 0.563999 1.97888 0.512946
5.40902 1.00378 0.977246 0.960796 1.02596 0.981181 1.1936 0.993377 0.598023 1.79815 0.574227
5.4591 1.00386 0.981597 0.948489 1.02071 0.980221 1.18272 0.993473 0.546491 1.83019 0.578177
5.50918 1.00364 0.984655 0.926242 1.03205 0.979784 1.16114 0.983222 0.697683 1.63603 0.656887
5.55927 1.00378 0.989621 0.907421 1.0472 0.978773 1.14653 0.992209 0.657388 1.60308 0.512262
5.60935 1.00134 0.99212 0.907294 1.04693 0.979844 1.12947 0.995973 0.688638 1.44588 0.652753
5.65943 0.999458 0.994951 0.893628 1.03683 0.980512 1.10238 0.989511 0.834637 1.11351 0.574725
5.70952 0.997286 0.998114 0.88485 1.03206 0.981292 1.07983 0.983622 1.00014 1.08254 0.564276
5.7596 0.995614 0.999898 0.878695 1.03302 0.981593 1.05893 0.984599 0.873544 1.09452 0.538953
5.80968 0.994002 1.00148 0.879201 1.01923 0.982187 1.0343 0.99156 0.802832 1.00413 0.589809
5.85977 0.992091 1.00243 0.881019 1.01116 0.984574 1.0133 0.987193 0.946403 1.01533 0.533316
5.90985 0.99229 1.00336 0.870584 1.01696 0.98614 0.995176 0.981907 0.905878 1.03981 0.611604
5.95993 0.99136 1.00453 0.889546 1.00257 0.987006 0.97897 0.975213 1.14957 0.977998 0.540056
6.01002 0.989588 1.00424 0.897443 0.992842 0.988657 0.956187 0.97144 0.921993 0.95779 0.551842
6.0601 0.990341 1.00388 0.895712 0.992697 0.989614 0.944043 0.979897 0.870614 0.896105 0.512502
6.11018 0.991017 1.00339 0.898674 0.977224 0.990535 0.930471 0.970862 1.04222 0.958564 0.54317
6.16027 0.990781 1.00212 0.905183 0.977659 0.990644 0.921073 0.968979 1.07648 0.991925 0.527756
6.21035 0.990783 1.0008 0.907202 0.974596 0.991173 0.92096 0.96427 1.04449 0.9964 0.588847
6.26043 0.990691 0.999864 0.917857 0.970742 0.991587 0.916399 0.963237 1.01761 0.999131 0.596257
6.31052 0.99285 0.998584 0.920322 0.971415 0.99166 0.910633 0.966869 1.09715 1.04794 0.671977
6.3606 0.993229 0.998371 0.926784 0.967267 0.992186 0.902135 0.961595 1.10651 1.14281 0.713931
6.41068 0.992765 0.997328 0.943698 0.982845 0.992153 0.90146 0.962422 0.967923 1.18415 0.729969
6.46077 0.993873 0.996181 0.949677 0.988756 0.992233 0.911164 0.966896 0.929736 1.20166 0.843064
6.51085 0.995246 0.996047 0.958506 0.97885 0.991996 0.909789 0.968415 0.863039 1.13459 0.756809
6.56093 0.998629 0.996061 0.960332 0.969221 0.991942 0.918224 0.962278 0.809105 1.07983 0.842229
6.61102 0.997857 0.994754 0.98203 0.978343 0.992566 0.920621 0.97115 0.930747 1.15086 0.968275
6.6611 0.999302 0.994963 0.992766 0.990146 0.992605 0.922298 0.973615 0.898484 1.23333 0.849644
6.71119 0.998655 0.995123 0.993109 0.982552 0.992191 0.929383 0.980677 0.917053 1.21324 0.875486
6.76127 0.998811 0.994908 1.00105 0.994897 0.992348 0.93936 0.979414 0.870612 1.33394 0.827142
6.81135 0.998686 0.994627 1.00455 0.998002 0.993156 0.945191 0.986228 0.879345 1.39833 0.752547
6.86144 0.999016 0.994784 1.00544 0.997205 0.99327 0.948472 0.991093 1.01565 1.32278 0.935977
6.91152 1.00023 0.994747 1.01359 1.00163 0.993437 0.957252 0.994833 0.866528 1.27968 0.959835
6.9616 1.00115 0.994439 1.00779 0.999077 0.993736 0.960961 1.00651 0.869276 1.23329 1.13365
7.01169 1.00025 0.994879 1.01528 1.00466 0.99432 0.967805 1.0049 0.774303 1.32987 1.00693
7.06177 0.999035 0.994815 1.01915 1.01275 0.995016 0.975597 1.00314 0.707309 1.48226 0.940307
7.11185 0.997067 0.994882 1.02658 1.01294 0.995583 0.980849 1.00435 0.874667 1.35087 1.00261
7.16194 0.999071 0.994681 1.01878 1.00368 0.995758 0.986351 1.01242 0.702019 1.34311 0.922165
7.21202 0.99826 0.994485 1.01693 1.0076 0.996103 0.990178 1.0107 0.75112 1.32292 0.973586
7.2621 0.998639 0.994708 1.01323 1.00645 0.996415 0.999795 1.01656 0.790485 1.33386 1.09463
7.31219 0.997968 0.995007 1.01638 1.0078 0.996878 1.00742 1.01741 0.895128 1.42834 1.04175
7.36227 0.997602 0.994212 1.01619 1.00941 0.997078 1.0062 1.01105 0.764347 1.26279 0.969578
7.41235 0.99597 0.99413 1.01705 1.01232 0.997611 1.01297 1.01212 0.792183 1.29996 1.08726
7.46244 0.995512 0.994656 1.01607 1.00447 0.997288 1.02053 1.00682 0.903157 1.27742 0.996642
7.51252 0.994043 0.994599 1.00935 1.00468 0.997732 1.0209 1.00657 0.822066 1.25533 0.858154
7.5626 0.993921 0.994166 1.01057 0.999506 0.997194 1.02296 1.01211 0.758011 1.32322 0.995493
7.61269 0.993829 0.994089 1.01664 1.00353 0.996899 1.02216 1.01346 0.859426 1.21977 1.0467
7.66277 0.992209 0.994853 1.01665 1.01149 0.997009 1.02673 1.00258 0.951792 1.17113 0.866944
7.71285 0.99182 0.993853 0.998844 1.00336 0.996692 1.02436 1.00467 0.853152 1.29724 1.0046
7.76294 0.990842 0.99352 0.993472 1.00374 0.99714 1.02432 1.00462 0.744671 1.15497 1.00381
7.81302 0.990983 0.994112 0.992641 1.00014 0.996318 1.02187 0.99926 0.826447 1.28306 0.909452
7.86311 0.989584 0.993446 0.996778 0.994116 0.996563 1.0288 0.999661 0.787687 1.34061 0.787882
7.91319 0.989975 0.992535 0.999018 0.995003 0.996292 1.02545 0.996183 0.836823 1.2503 0.862538
7.96327 0.989847 0.993039 0.99204 0.99297 0.995905 1.02136 0.996016 0.817927 1.1626 0.874701
8.01336 0.990107 0.993195 0.994989 0.996865 0.995401 1.02645 0.996088 1.02367 1.249 0.829813
8.06344 0.98855 0.992739 0.992421 0.983905 0.994828 1.01831 0.993602 0.871308 1.11628 0.770852
8.11352 0.989551 0.992983 0.988294 0.985061 0.994921 1.01116 0.989344 0.840488 1.1499 0.819658
8.16361 0.989853 0.992677 0.989112 0.985318 0.994053 1.01213 0.989641 0.844786 1.1643 0.811134
8.21369 0.989202 0.992615 0.986629 0.989241 0.993715 1.0158 0.989857 0.918339 1.21208 0.829612
8.26377 0.99016 0.992431 0.993363 0.986357 0.993223 1.0099 0.989291 0.884081 1.18922 0.907994
8.31386 0.990376 0.992256 0.98745 0.987672 0.993035 1.00523 0.986568 0.968133 1.1692 0.860886
8.36394 0.989847 0.992408 0.994165 0.986139 0.992301 1.00373 0.987448 0.876249 1.09067 0.782045
8.41402 0.989997 0.992119 0.996067 0.9849 0.992867 0.997346 0.985999 0.881328 1.08165 0.818019
8.46411 0.990804 0.992301 0.989544 0.990385 0.99282 0.997226 0.985036 1.03828 1.09074 0.873488
8.51419 0.992214 0.992052 0.989568 0.981759 0.99243 0.99488 0.979754 0.901283 1.11143 0.859351
8.56427 0.992042 0.992712 0.988837 0.995631 0.992283 0.990263 0.984702 0.838514 1.12968 0.787482
8.61436 0.991717 0.992609 0.98825 0.992734 0.992275 0.991986 0.984919 0.841651 1.10245 0.871532
